keyword,keyword_group,url,estimated_daily_traffic,coverage traffic,latest_date,avg_rank,pagepath,custom_page_cate_id,custom_page_page_id,custom_page_province_id,custom_page_district_id,custom_page_ward_id,type,Cateype,search_by_location,include_gia,region,dup_check
Bán nhà mặt tiền Quận 6,For sale - HCM;For Sale - Key District,/ban-nha-mat-pho-quan-6,8.259554385,0.527111348,44461,1,/ban-nha-mat-pho-quan-6,,,,,,For Sale,nha_mat_tien,quan,khong_gia,HCM,1
Bán đất Ba Vì,For sale - HN;For Sale - Key District,/ban-dat-ba-vi,8.259554385,0.527520627,44461,1,/ban-dat-ba-vi,,,,,,For Sale,dat,quan,khong_gia,HN,1
Bán đất Bắc Giang,For Sale - City,/nha-dat-ban-bac-giang,8.259554385,0.527929907,44461,1,/nha-dat-ban-bac-giang,,,,,,For Sale,dat,Province,khong_gia,Others/non-detect,1
Bán đất Gia Lâm,For sale - HN;For Sale - Key District,/ban-dat-gia-lam,8.259554385,0.528339187,44461,1,/ban-dat-gia-lam,283,280,HN,11,,For Sale,dat,quan,khong_gia,HN,1
Bán đất Hà Đông,-,/ban-dat-ha-dong,8.259554385,0.528748467,44461,1,/ban-dat-ha-dong,283,280,HN,15,,For Sale,dat,non_detect,khong_gia,Others/non-detect,1
Bán đất Hải Phòng,For Sale - City,/ban-dat-hai-phong,8.259554385,0.529157746,44461,1,/ban-dat-hai-phong,,,,,,For Sale,dat,Province,khong_gia,Others/non-detect,1
Bán đất Thanh Trì,For sale - HN;For Sale - Key District,/ban-dat-thanh-tri,8.259554385,0.529567026,44461,1,/ban-dat-thanh-tri,283,280,HN,13,,For Sale,dat,quan,khong_gia,HN,1
Chung cư B1 Trường Sa,Project Name - HCM,/ban-can-ho-chung-cu-chung-cu-b1-truong-sa,8.259554385,0.529976306,44461,1,/ban-can-ho-chung-cu-chung-cu-b1-truong-sa,324,275,SG,66,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Chung cư Bông Sao,Project Name - HCM,/ban-can-ho-chung-cu-chung-cu-bong-sao,8.259554385,0.530385585,44461,1,/ban-can-ho-chung-cu-chung-cu-bong-sao,324,275,SG,60,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Chung cư Nguyễn Ngọc Phương,Project Name - HCM,/ban-can-ho-chung-cu-duong-nguyen-ngoc-phuong_1-66,8.259554385,0.530794865,44461,1,/ban-can-ho-chung-cu-duong-nguyen-ngoc-phuong_1-66,324,275,SG,66,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Chung cư Đào Duy Từ,Project Name - HCM,/ban-can-ho-chung-cu-chung-cu-dao-duy-tu,8.259554385,0.531204145,44461,1.048076923,/ban-can-ho-chung-cu-chung-cu-dao-duy-tu,324,275,SG,62,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Nhà đất Gia Lâm,For sale - HN;For Sale - Key District;Property Type + Location,/ban-dat-gia-lam,8.259554385,0.531613425,44461,1,/ban-dat-gia-lam,283,280,HN,11,,non-detect,nha_general,quan,khong_gia,HN,1
Nhà đất Đông Anh,-,/nha-dat-ban-dong-anh,8.259554385,0.532022704,44461,1,/nha-dat-ban-dong-anh,,86,HN,10,,non-detect,nha_general,non_detect,khong_gia,Others/non-detect,1
chung cư Bắc Hà,Property Type + Location,/ban-can-ho-chung-cu-hh2-bac-ha,8.259554385,0.532431984,44461,1,/ban-can-ho-chung-cu-hh2-bac-ha,324,275,HN,14,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
giá đất hòa xuân đà nẵng,Property Type + Price,/ban-dat-phuong-hoa-xuan,8.259554385,0.532841264,44461,1,/ban-dat-phuong-hoa-xuan,283,280,DDN,45,,non-detect,dat,non_detect,co_gia,Others/non-detect,1
đất nền Đà Nẵng,Property Type + Location,/ban-dat-nen-du-an-da-nang,8.259554385,0.533250543,44461,1,/ban-dat-nen-du-an-da-nang,40,279,DDN,,,non-detect,dat_nen,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Chung cư Phú Mỹ,Project Name - HCM;Property Type + Location,/ban-can-ho-chung-cu-chung-cu-phu-my,8.259509903,0.533659821,44461,1,/ban-can-ho-chung-cu-chung-cu-phu-my,324,275,SG,59,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,HCM,1
mua bán bất động sản,For Sale - General,/,8.25932299,0.534069089,44461,1.131313131,/,,,,,,For Sale,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
